timestamp,container,cpu_percent,memory_usage,memory_percent
2026-08-18T12:29:17.286+07:00,kafka,6.16%,992.2MiB / 7.678GiB,12.62%
2026-08-18T12:29:20.336+07:00,spark,163.88%,5.083GiB / 7.678GiB,66.20%
2026-08-18T12:29:20.336+07:00,postgres,0.10%,58.38MiB / 7.678GiB,0.74%
2026-08-18T12:29:20.336+07:00,kafka,3.25%,991.1MiB / 7.678GiB,12.61%
2026-08-18T12:29:23.369+07:00,spark,270.86%,5.082GiB / 7.678GiB,66.19%
2026-08-18T12:29:23.369+07:00,postgres,0.02%,58.15MiB / 7.678GiB,0.74%
2026-08-18T12:29:23.369+07:00,kafka,5.72%,991.1MiB / 7.678GiB,12.61%
2026-08-18T12:29:26.706+07:00,spark,324.58%,5.082GiB / 7.678GiB,66.19%
2026-08-18T12:29:26.706+07:00,postgres,21.00%,57.95MiB / 7.678GiB,0.74%
2026-08-18T12:29:26.706+07:00,kafka,4.52%,991.1MiB / 7.678GiB,12.61%
2026-08-18T12:29:29.732+07:00,spark,247.09%,5.086GiB / 7.678GiB,66.24%
2026-08-18T12:29:29.732+07:00,postgres,4.41%,58MiB / 7.678GiB,0.74%
2026-08-18T12:29:29.732+07:00,kafka,4.86%,991.1MiB / 7.678GiB,12.61%
2026-08-18T12:29:32.916+07:00,spark,423.88%,5.086GiB / 7.678GiB,66.24%
2026-08-18T12:29:32.916+07:00,postgres,7.22%,58.33MiB / 7.678GiB,0.74%
2026-08-18T12:29:32.916+07:00,kafka,4.89%,991.1MiB / 7.678GiB,12.61%
2026-08-18T12:29:36.457+07:00,spark,289.03%,5.086GiB / 7.678GiB,66.23%
2026-08-18T12:29:36.457+07:00,postgres,0.02%,58.33MiB / 7.678GiB,0.74%
2026-08-18T12:29:36.457+07:00,kafka,7.72%,991.1MiB / 7.678GiB,12.61%
2026-08-18T12:29:39.538+07:00,spark,211.58%,5.088GiB / 7.678GiB,66.27%
2026-08-18T12:29:39.538+07:00,postgres,0.03%,58.02MiB / 7.678GiB,0.74%
2026-08-18T12:29:39.538+07:00,kafka,6.36%,990.9MiB / 7.678GiB,12.60%
2026-08-18T12:29:42.962+07:00,spark,113.97%,5.086GiB / 7.678GiB,66.24%
2026-08-18T12:29:42.962+07:00,postgres,12.13%,58.15MiB / 7.678GiB,0.74%
2026-08-18T12:29:42.962+07:00,kafka,3.87%,991.1MiB / 7.678GiB,12.61%
2026-08-18T12:29:46.450+07:00,spark,331.70%,5.087GiB / 7.678GiB,66.25%
2026-08-18T12:29:46.450+07:00,postgres,0.03%,57.98MiB / 7.678GiB,0.74%
2026-08-18T12:29:46.450+07:00,kafka,4.57%,991.1MiB / 7.678GiB,12.61%
