timestamp,container,cpu_percent,memory_usage,memory_percent
2026-08-24T14:28:16.506+07:00,spark,386.39%,4.368GiB / 7.678GiB,56.89%
2026-08-24T14:28:16.506+07:00,postgres,0.00%,138.3MiB / 7.678GiB,1.76%
2026-08-24T14:28:19.772+07:00,kafka,9.14%,882.6MiB / 7.678GiB,11.23%
2026-08-24T14:28:19.772+07:00,spark,373.29%,4.437GiB / 7.678GiB,57.78%
2026-08-24T14:28:19.772+07:00,postgres,0.00%,138.3MiB / 7.678GiB,1.76%
2026-08-24T14:28:22.809+07:00,kafka,9.45%,882.9MiB / 7.678GiB,11.23%
2026-08-24T14:28:22.809+07:00,spark,346.00%,4.503GiB / 7.678GiB,58.65%
2026-08-24T14:28:22.809+07:00,postgres,0.88%,139.5MiB / 7.678GiB,1.77%
2026-08-24T14:28:25.855+07:00,kafka,6.55%,883.3MiB / 7.678GiB,11.23%
2026-08-24T14:28:25.855+07:00,spark,382.63%,4.605GiB / 7.678GiB,59.98%
2026-08-24T14:28:25.855+07:00,postgres,0.00%,140.6MiB / 7.678GiB,1.79%
2026-08-24T14:28:29.130+07:00,kafka,7.69%,883.3MiB / 7.678GiB,11.23%
2026-08-24T14:28:29.130+07:00,spark,327.66%,4.705GiB / 7.678GiB,61.28%
2026-08-24T14:28:29.130+07:00,postgres,26.24%,140.5MiB / 7.678GiB,1.79%
2026-08-24T14:28:32.188+07:00,kafka,18.83%,883.6MiB / 7.678GiB,11.24%
2026-08-24T14:28:32.188+07:00,spark,347.03%,4.73GiB / 7.678GiB,61.60%
2026-08-24T14:28:32.188+07:00,postgres,0.02%,138MiB / 7.678GiB,1.75%
2026-08-24T14:28:35.237+07:00,kafka,10.11%,884.5MiB / 7.678GiB,11.25%
2026-08-24T14:28:35.237+07:00,spark,362.49%,4.787GiB / 7.678GiB,62.34%
2026-08-24T14:28:35.237+07:00,postgres,3.27%,138.2MiB / 7.678GiB,1.76%
2026-08-24T14:28:38.556+07:00,kafka,14.61%,885.3MiB / 7.678GiB,11.26%
2026-08-24T14:28:38.556+07:00,spark,367.49%,4.838GiB / 7.678GiB,63.01%
2026-08-24T14:28:38.556+07:00,postgres,0.02%,138.2MiB / 7.678GiB,1.76%
2026-08-24T14:28:41.598+07:00,kafka,11.56%,886.1MiB / 7.678GiB,11.27%
2026-08-24T14:28:41.598+07:00,spark,362.40%,4.852GiB / 7.678GiB,63.19%
2026-08-24T14:28:41.598+07:00,postgres,4.96%,140.3MiB / 7.678GiB,1.78%
2026-08-24T14:28:44.651+07:00,kafka,9.08%,886.1MiB / 7.678GiB,11.27%
2026-08-24T14:28:44.651+07:00,spark,356.55%,4.864GiB / 7.678GiB,63.35%
2026-08-24T14:28:44.651+07:00,postgres,2.15%,142.1MiB / 7.678GiB,1.81%
2026-08-24T14:28:47.871+07:00,kafka,14.46%,886.5MiB / 7.678GiB,11.27%
2026-08-24T14:28:47.871+07:00,spark,356.43%,4.894GiB / 7.678GiB,63.74%
2026-08-24T14:28:47.871+07:00,postgres,5.54%,142.1MiB / 7.678GiB,1.81%
2026-08-24T14:28:50.919+07:00,kafka,11.42%,887.6MiB / 7.678GiB,11.29%
2026-08-24T14:28:50.919+07:00,spark,310.77%,4.926GiB / 7.678GiB,64.16%
2026-08-24T14:28:50.919+07:00,postgres,22.98%,138.3MiB / 7.678GiB,1.76%
2026-08-24T14:28:53.967+07:00,kafka,9.15%,888.1MiB / 7.678GiB,11.30%
2026-08-24T14:28:53.967+07:00,spark,335.74%,4.931GiB / 7.678GiB,64.22%
2026-08-24T14:28:53.967+07:00,postgres,0.01%,140.6MiB / 7.678GiB,1.79%
2026-08-24T14:28:57.219+07:00,kafka,12.77%,888MiB / 7.678GiB,11.29%
2026-08-24T14:28:57.219+07:00,spark,350.33%,4.974GiB / 7.678GiB,64.78%
2026-08-24T14:28:57.219+07:00,postgres,12.38%,142.2MiB / 7.678GiB,1.81%
2026-08-24T14:29:00.541+07:00,kafka,7.48%,888.4MiB / 7.678GiB,11.30%
2026-08-24T14:29:00.541+07:00,spark,351.44%,4.987GiB / 7.678GiB,64.95%
2026-08-24T14:29:00.541+07:00,postgres,0.01%,138.3MiB / 7.678GiB,1.76%
2026-08-24T14:29:03.627+07:00,kafka,14.00%,885.7MiB / 7.678GiB,11.26%
2026-08-24T14:29:03.627+07:00,spark,363.97%,5.044GiB / 7.678GiB,65.70%
2026-08-24T14:29:03.627+07:00,postgres,6.46%,140.3MiB / 7.678GiB,1.78%
2026-08-24T14:29:06.906+07:00,kafka,6.60%,883.1MiB / 7.678GiB,11.23%
2026-08-24T14:29:06.906+07:00,spark,347.02%,5.049GiB / 7.678GiB,65.76%
2026-08-24T14:29:06.906+07:00,postgres,21.70%,142.2MiB / 7.678GiB,1.81%
2026-08-24T14:29:10.186+07:00,kafka,11.11%,883MiB / 7.678GiB,11.23%
